date,acquisition_channel,spend_amount,impressions,clicks,country
2023-01-01,paid_search,2843.06,3766362,107342,USA
2023-01-01,paid_search,813.24,884356,30505,UK
2023-01-01,paid_search,2836.16,3386266,94525,Canada
2023-01-01,paid_social,1021.54,1403525,47680,USA
2023-01-01,paid_social,1788.97,1601342,77105,UK
2023-01-01,paid_social,716.92,375561,17635,Canada
2023-01-01,organic,4.79,5590,223,USA
2023-01-01,organic,7.38,5593,112,UK
2023-01-01,organic,51.43,28125,1113,Canada
2023-01-01,email,263.42,282639,3405,USA
2023-01-01,email,254.98,177629,8399,UK
2023-01-01,email,81.22,78475,2756,Canada
2023-01-01,referral,63.4,70114,1055,USA
2023-01-01,referral,4.2,2442,95,UK
2023-01-01,referral,125.94,91097,1016,Canada
2023-01-01,social_media,750.63,517389,24070,USA
2023-01-01,social_media,516.96,374965,12409,UK
2023-01-01,social_media,1224.91,1266140,57508,Canada
2023-01-02,paid_search,2087.66,2006440,40934,USA
2023-01-02,paid_search,2614.29,2914673,117940,UK
2023-01-02,paid_search,1145.35,1064264,40589,Canada
2023-01-02,paid_social,1465.32,1058785,12550,USA
2023-01-02,paid_social,1670.5,1393102,53076,UK
2023-01-02,paid_social,1785.84,1190975,34847,Canada
2023-01-02,organic,17.17,20831,430,USA
2023-01-02,organic,16.83,15067,164,UK
2023-01-02,organic,29.7,25087,872,Canada
2023-01-02,email,230.37,160237,6925,USA
2023-01-02,email,136.56,88224,3422,UK
2023-01-02,email,218.85,209231,3920,Canada
2023-01-02,referral,92.6,55875,1374,USA
2023-01-02,referral,159.3,137235,6621,UK
2023-01-02,referral,33.23,37798,588,Canada
2023-01-02,social_media,1354.37,1602154,49455,USA
2023-01-02,social_media,1191.25,941811,22563,UK
2023-01-02,social_media,915.54,583864,16814,Canada
2023-01-03,paid_search,2574.01,3572786,125652,USA
2023-01-03,paid_search,1315.62,683443,32996,UK
2023-01-03,paid_search,2712.5,1705885,46350,Canada
2023-01-03,paid_social,1849.17,1369545,15792,USA
2023-01-03,paid_social,1510.79,2080592,74047,UK
2023-01-03,paid_social,1359.48,872168,42097,Canada
2023-01-03,organic,87.12,121955,3298,USA
2023-01-03,organic,72.69,54825,1158,UK
2023-01-03,organic,38.95,20667,658,Canada
2023-01-03,email,74.96,68004,1068,USA
2023-01-03,email,50.9,43706,992,UK
2023-01-03,email,203.82,250863,10263,Canada
2023-01-03,referral,139.63,88408,3689,USA
2023-01-03,referral,196.82,223579,4337,UK
2023-01-03,referral,61.21,41277,973,Canada
2023-01-03,social_media,1389.03,1772809,75668,USA
2023-01-03,social_media,917.81,621511,7218,UK
2023-01-03,social_media,531.15,777519,32728,Canada
2023-01-04,paid_search,1834.12,1708971,71727,USA
2023-01-04,paid_search,2623.86,3823694,88476,UK
2023-01-04,paid_search,2230.34,2884836,93876,Canada
2023-01-04,paid_social,1334.33,1714953,85023,USA
2023-01-04,paid_social,869.35,819059,16384,UK
2023-01-04,paid_social,1833.94,2473743,120518,Canada
2023-01-04,organic,3.9,5710,98,USA
2023-01-04,organic,70.93,71924,1502,UK
2023-01-04,organic,12.99,14515,277,Canada
2023-01-04,email,275.63,339168,11155,USA
2023-01-04,email,261.41,367637,8505,UK
2023-01-04,email,262.24,327319,14820,Canada
2023-01-04,referral,128.54,174914,5332,USA
2023-01-04,referral,46.97,42081,829,UK
2023-01-04,referral,47.44,52918,2604,Canada
2023-01-04,social_media,801.32,1122372,40829,USA
2023-01-04,social_media,955.99,1269878,50481,UK
2023-01-04,social_media,1199.17,1595309,79351,Canada
2023-01-05,paid_search,772.81,1097083,20155,USA
2023-01-05,paid_search,2028.06,2661575,101570,UK
2023-01-05,paid_search,1930.75,2262705,52482,Canada
