order_id,user_id,order_date,product_category,product_name,quantity,unit_price,total_amount,discount_amount,payment_method,order_status
10001,1001,2024-08-30,Books,Cookbook,2,11.0,22.0,1.97,apple_pay,completed
10002,1001,2024-08-30,Home,Bed Sheets,2,210.31,420.62,0,credit_card,completed
10003,1001,2024-08-30,Sports,Water Bottle,2,233.11,466.22,36.76,credit_card,completed
10004,1001,2024-08-30,Books,Data Science Guide,1,43.28,43.28,0,google_pay,completed
10005,1001,2024-07-06,Beauty,Lipstick,2,58.1,116.2,0,apple_pay,completed
10006,1001,2024-07-06,Sports,Resistance Bands,1,277.8,277.8,0,google_pay,refunded
10007,1001,2024-05-20,Clothing,Winter Jacket,1,46.39,46.39,0,google_pay,completed
10008,1001,2024-05-20,Books,Cookbook,3,35.27,105.81,0,apple_pay,completed
10009,1002,2023-12-09,Books,The Great Novel,1,12.16,12.16,0,credit_card,cancelled
10010,1002,2024-05-12,Sports,Basketball,3,241.31,723.93,0,credit_card,cancelled
10011,1002,2024-05-12,Sports,Yoga Mat,1,149.78,149.78,0,google_pay,completed
10012,1002,2024-05-12,Sports,Running Belt,1,263.39,263.39,0,apple_pay,completed
10013,1003,2024-10-14,Electronics,Sony Headphones,2,595.8,1191.6,201.24,google_pay,completed
10014,1003,2024-10-14,Electronics,MacBook Pro,3,543.0,1629.0,0,apple_pay,completed
10015,1003,2024-10-14,Clothing,Sweater,2,60.04,120.08,0,google_pay,completed
10016,1003,2024-10-14,Sports,Yoga Mat,2,172.37,344.74,50.1,apple_pay,completed
10017,1003,2024-11-14,Home,Vacuum Cleaner,1,277.55,277.55,0,apple_pay,completed
10018,1003,2024-11-14,Home,Cookware Set,2,46.45,92.9,0,apple_pay,completed
10019,1003,2024-11-23,Home,Towel Set,2,302.71,605.42,107.05,paypal,completed
10020,1003,2024-11-23,Clothing,Running Shoes,3,196.25,588.75,0,google_pay,completed
10021,1003,2024-11-23,Beauty,Shampoo,2,72.06,144.12,23.73,apple_pay,completed
10022,1003,2024-09-11,Books,Data Science Guide,1,16.67,16.67,2.18,credit_card,completed
10023,1003,2024-09-11,Books,Mystery Novel,3,9.5,28.5,0,credit_card,completed
10024,1003,2024-11-28,Clothing,Blue Jeans,2,78.21,156.42,0,paypal,completed
10025,1003,2024-11-28,Home,Vacuum Cleaner,2,259.93,519.86,0,apple_pay,completed
10026,1003,2024-11-28,Electronics,iPhone 15,3,2032.25,6096.75,775.54,google_pay,completed
10027,1003,2024-11-28,Books,Cookbook,3,20.46,61.38,10.83,paypal,completed
10028,1004,2024-11-27,Home,Table Lamp,3,382.54,1147.62,0,paypal,completed
10029,1004,2024-11-27,Sports,Resistance Bands,3,33.73,101.19,0,credit_card,completed
10030,1004,2024-11-27,Electronics,iPad Air,1,1715.03,1715.03,0,apple_pay,completed
10031,1004,2023-08-28,Sports,Gym Bag,3,164.87,494.61,90.38,credit_card,completed
10032,1004,2023-08-28,Home,Cookware Set,2,243.15,486.3,0,apple_pay,completed
10033,1004,2023-08-28,Books,Data Science Guide,2,24.07,48.14,0,google_pay,completed
10034,1004,2023-08-28,Beauty,Perfume,1,48.69,48.69,8.51,google_pay,completed
10035,1004,2024-10-30,Sports,Tennis Racket,1,176.32,176.32,0,google_pay,cancelled
10036,1004,2024-10-30,Electronics,Apple Watch,1,2375.14,2375.14,0,credit_card,cancelled
10037,1007,2024-08-15,Clothing,Running Shoes,1,27.06,27.06,0,paypal,completed
10038,1007,2024-08-15,Electronics,iPhone 15,1,1820.66,1820.66,0,credit_card,completed
10039,1007,2024-07-08,Electronics,Kindle,3,1148.71,3446.13,0,apple_pay,completed
10040,1008,2023-06-06,Home,Bed Sheets,1,135.84,135.84,11.59,apple_pay,completed
10041,1008,2023-06-06,Beauty,Foundation,3,141.25,423.75,0,google_pay,completed
10042,1009,2024-01-26,Books,Data Science Guide,1,21.59,21.59,0,apple_pay,cancelled
10043,1009,2024-01-26,Beauty,Shampoo,1,12.5,12.5,2.49,google_pay,completed
10044,1009,2024-01-26,Clothing,Blue Jeans,2,166.13,332.26,0,google_pay,completed
10045,1009,2024-12-10,Electronics,iPad Air,1,2285.47,2285.47,0,google_pay,completed
10046,1009,2024-12-10,Books,Self Help Book,1,11.95,11.95,1.3,credit_card,completed
10047,1009,2024-12-10,Beauty,Shampoo,3,127.18,381.54,31.94,google_pay,completed
10048,1009,2024-12-10,Sports,Resistance Bands,1,128.27,128.27,24.04,google_pay,completed
10049,1009,2024-04-07,Sports,Yoga Mat,2,234.53,469.06,53.7,apple_pay,completed
10050,1010,2024-09-06,Books,Biography,1,24.54,24.54,0,paypal,completed
10051,1010,2024-09-06,Sports,Gym Bag,3,172.74,518.22,69.89,google_pay,completed
10052,1011,2024-05-04,Home,Coffee Maker,2,326.05,652.1,0,credit_card,completed
10053,1011,2024-04-08,Books,The Great Novel,3,32.79,98.37,0,paypal,refunded
10054,1011,2024-04-08,Books,Mystery Novel,2,42.97,85.94,0,paypal,completed
10055,1011,2024-04-08,Books,The Great Novel,2,48.11,96.22,0,apple_pay,completed
10056,1011,2024-04-08,Clothing,Winter Jacket,2,84.02,168.04,0,credit_card,cancelled
10057,1011,2023-06-27,Books,Cookbook,2,37.24,74.48,0,apple_pay,completed
10058,1011,2023-06-27,Books,Data Science Guide,1,12.86,12.86,0,paypal,completed
10059,1011,2023-06-27,Home,Blender,3,292.72,878.16,0,apple_pay,completed
10060,1011,2023-06-27,Clothing,Running Shoes,1,127.57,127.57,0,credit_card,completed
10061,1011,2023-10-25,Electronics,Sony Headphones,3,1908.1,5724.3,0,apple_pay,completed
10062,1011,2023-10-25,Beauty,Perfume,2,78.6,157.2,15.38,paypal,completed
10063,1011,2023-10-25,Electronics,MacBook Pro,1,2157.04,2157.04,0,credit_card,completed
10064,1011,2023-10-25,Beauty,Face Cream,1,98.6,98.6,0,apple_pay,completed
10065,1012,2024-09-22,Home,Coffee Maker,2,92.52,185.04,16.98,paypal,completed
10066,1012,2024-09-22,Sports,Running Belt,3,188.53,565.59,103.4,credit_card,completed
10067,1012,2024-09-22,Electronics,Kindle,3,1733.29,5199.87,663.02,apple_pay,completed
10068,1012,2024-09-22,Beauty,Nail Polish,1,24.34,24.34,1.48,apple_pay,refunded
10069,1012,2024-12-18,Books,Python Programming,1,40.45,40.45,5.91,credit_card,completed
10070,1012,2023-12-15,Electronics,iPad Air,1,1641.92,1641.92,300.28,credit_card,completed
10071,1012,2024-07-20,Clothing,Hoodie,1,153.56,153.56,0,google_pay,completed
10072,1012,2024-07-20,Electronics,MacBook Pro,1,395.47,395.47,0,apple_pay,completed
10073,1012,2024-07-20,Beauty,Face Cream,1,143.11,143.11,0,credit_card,completed
10074,1012,2023-09-01,Sports,Resistance Bands,3,98.22,294.66,20.96,google_pay,completed
10075,1012,2023-09-01,Books,Business Strategy,2,22.78,45.56,0,google_pay,completed
10076,1012,2023-09-01,Electronics,Apple Watch,3,492.8,1478.4,0,paypal,completed
10077,1012,2024-08-10,Clothing,Dress Shirt,3,33.88,101.64,16.14,apple_pay,completed
10078,1012,2024-08-10,Home,Coffee Maker,1,159.16,159.16,0,paypal,completed
10079,1012,2024-08-10,Beauty,Lipstick,1,76.15,76.15,0,apple_pay,cancelled
10080,1012,2024-08-10,Books,Self Help Book,3,39.56,118.68,11.94,google_pay,refunded
10081,1012,2023-09-19,Books,Self Help Book,3,26.42,79.26,9.29,paypal,completed
10082,1012,2023-09-04,Home,Air Purifier,3,141.35,424.05,0,google_pay,completed
10083,1012,2023-09-04,Beauty,Perfume,2,137.36,274.72,0,credit_card,completed
10084,1012,2023-09-04,Books,Cookbook,2,37.19,74.38,0,apple_pay,completed
10085,1012,2024-06-01,Electronics,iPad Air,2,649.8,1299.6,0,credit_card,completed
10086,1012,2024-06-01,Sports,Yoga Mat,3,281.08,843.24,83.21,apple_pay,completed
10087,1012,2024-06-01,Beauty,Face Cream,3,147.65,442.95,0,credit_card,completed
10088,1012,2024-06-26,Books,Biography,1,33.04,33.04,0,apple_pay,completed
10089,1015,2024-07-30,Beauty,Hair Serum,1,106.08,106.08,0,google_pay,completed
10090,1015,2024-07-30,Beauty,Body Lotion,1,55.17,55.17,4.98,paypal,refunded
10091,1015,2024-07-30,Electronics,Samsung Galaxy S24,3,596.51,1789.53,0,apple_pay,completed
10092,1015,2024-07-30,Electronics,iPhone 15,1,2190.85,2190.85,339.46,apple_pay,completed
10093,1015,2023-10-22,Home,Air Purifier,3,373.29,1119.87,114.29,apple_pay,completed
10094,1015,2023-12-09,Beauty,Body Lotion,1,72.01,72.01,0,credit_card,completed
10095,1015,2023-12-09,Books,Business Strategy,1,27.55,27.55,0,apple_pay,refunded
10096,1015,2023-12-09,Beauty,Face Cream,1,103.3,103.3,5.91,apple_pay,cancelled
10097,1015,2023-12-09,Beauty,Foundation,2,117.88,235.76,0,credit_card,completed
10098,1016,2023-10-23,Home,Cookware Set,1,375.94,375.94,42.96,apple_pay,completed
10099,1016,2023-11-07,Electronics,Sony Headphones,3,1648.55,4945.65,0,apple_pay,completed
10100,1016,2024-01-31,Sports,Resistance Bands,2,230.83,461.66,0,apple_pay,completed
10101,1016,2024-01-31,Clothing,Blue Jeans,2,88.83,177.66,0,google_pay,completed
10102,1016,2024-11-29,Beauty,Face Cream,2,90.25,180.5,33.63,credit_card,completed
10103,1017,2024-03-25,Beauty,Nail Polish,2,48.0,96.0,17.69,apple_pay,cancelled
10104,1017,2024-03-25,Beauty,Lipstick,3,133.9,401.7,0,apple_pay,completed
10105,1017,2024-03-25,Home,Cookware Set,1,36.59,36.59,0,paypal,completed
10106,1017,2024-03-25,Home,Cookware Set,1,109.65,109.65,0,credit_card,completed
10107,1018,2024-05-03,Clothing,Hoodie,2,64.92,129.84,10.07,apple_pay,completed
10108,1018,2024-05-03,Clothing,Blue Jeans,3,52.62,157.86,24.53,paypal,completed
10109,1018,2024-05-03,Home,Cookware Set,1,54.81,54.81,3.0,google_pay,completed
10110,1018,2024-05-03,Beauty,Face Cream,2,45.47,90.94,0,google_pay,refunded
10111,1018,2024-03-19,Clothing,Blue Jeans,1,178.55,178.55,0,google_pay,completed
10112,1018,2024-03-19,Clothing,Running Shoes,3,185.95,557.85,0,google_pay,completed
10113,1018,2024-03-19,Home,Towel Set,2,346.17,692.34,43.73,google_pay,completed
10114,1018,2024-08-01,Clothing,Hoodie,1,60.57,60.57,6.84,paypal,completed
10115,1018,2024-08-01,Electronics,MacBook Pro,2,1113.1,2226.2,0,google_pay,completed
10116,1018,2024-08-01,Books,The Great Novel,3,32.83,98.49,0,credit_card,completed
10117,1018,2024-09-28,Clothing,Cotton T-Shirt,3,154.35,463.05,0,paypal,completed
10118,1018,2024-09-28,Electronics,MacBook Pro,1,1074.66,1074.66,180.38,google_pay,completed
10119,1018,2024-09-28,Beauty,Face Cream,3,62.15,186.45,0,credit_card,completed
10120,1018,2024-07-30,Clothing,Sneakers,2,118.04,236.08,0,apple_pay,completed
10121,1018,2024-07-30,Sports,Water Bottle,3,291.28,873.84,0,google_pay,completed
10122,1018,2024-07-30,Sports,Yoga Mat,3,29.3,87.9,8.87,paypal,completed
10123,1018,2024-07-30,Electronics,Apple Watch,3,2372.73,7118.19,0,paypal,completed
10124,1019,2024-10-21,Home,Table Lamp,1,272.22,272.22,19.25,google_pay,completed
10125,1019,2024-10-21,Clothing,Blue Jeans,1,50.97,50.97,0,paypal,completed
10126,1019,2024-10-21,Beauty,Foundation,1,102.76,102.76,0,apple_pay,completed
10127,1021,2024-05-16,Books,Self Help Book,3,17.46,52.38,0,credit_card,completed
10128,1021,2024-05-16,Electronics,Apple Watch,2,1569.0,3138.0,486.91,credit_card,completed
10129,1021,2024-05-16,Clothing,Blue Jeans,3,56.41,169.23,0,paypal,refunded
10130,1022,2024-03-04,Clothing,Running Shoes,3,98.0,294.0,0,credit_card,refunded
10131,1022,2024-03-04,Clothing,Sneakers,3,53.91,161.73,26.51,google_pay,completed
10132,1022,2024-05-01,Electronics,Apple Watch,2,1169.92,2339.84,0,credit_card,cancelled
10133,1022,2024-05-01,Home,Air Purifier,2,198.06,396.12,0,credit_card,refunded
10134,1022,2024-05-01,Sports,Tennis Racket,1,233.09,233.09,0,credit_card,completed
10135,1022,2024-11-20,Beauty,Shampoo,2,52.9,105.8,5.94,paypal,refunded
10136,1022,2024-11-20,Electronics,iPhone 15,2,844.47,1688.94,221.56,google_pay,completed
10137,1022,2024-11-20,Books,Data Science Guide,1,31.7,31.7,2.55,google_pay,completed
10138,1022,2024-11-20,Electronics,iPhone 15,2,1191.9,2383.8,465.62,google_pay,completed
10139,1024,2024-11-09,Electronics,Apple Watch,1,1839.94,1839.94,115.21,google_pay,completed
10140,1024,2024-11-09,Home,Cookware Set,1,141.18,141.18,0,apple_pay,completed
10141,1024,2024-11-09,Home,Coffee Maker,2,386.17,772.34,0,apple_pay,completed
10142,1024,2024-11-09,Sports,Tennis Racket,3,78.82,236.46,0,google_pay,completed
10143,1024,2024-12-19,Books,Business Strategy,1,42.86,42.86,0,credit_card,completed
10144,1024,2024-12-19,Electronics,Sony Headphones,1,861.6,861.6,129.08,apple_pay,refunded
10145,1024,2024-07-07,Home,Vacuum Cleaner,1,280.3,280.3,40.77,google_pay,refunded
10146,1024,2024-07-07,Sports,Dumbbells,3,191.87,575.61,0,apple_pay,completed
10147,1024,2024-07-07,Beauty,Shampoo,3,94.31,282.93,0,paypal,completed
10148,1024,2024-07-08,Clothing,Running Shoes,3,192.82,578.46,111.11,paypal,cancelled
10149,1024,2024-07-08,Home,Coffee Maker,2,225.7,451.4,0,paypal,completed
10150,1024,2024-07-08,Electronics,Dell XPS,1,472.11,472.11,83.68,google_pay,completed
10151,1025,2023-11-25,Home,Table Lamp,2,348.52,697.04,75.67,apple_pay,completed
10152,1028,2024-07-19,Home,Towel Set,2,246.13,492.26,83.5,apple_pay,completed
10153,1028,2024-07-19,Clothing,Sneakers,1,97.59,97.59,0,apple_pay,cancelled
10154,1028,2024-07-19,Books,Biography,3,32.79,98.37,0,credit_card,refunded
10155,1028,2024-07-19,Books,Business Strategy,2,14.06,28.12,0,credit_card,completed
10156,1028,2024-03-17,Sports,Resistance Bands,3,275.45,826.35,0,apple_pay,completed
10157,1028,2024-03-24,Books,Data Science Guide,2,40.46,80.92,0,apple_pay,completed
10158,1028,2024-03-24,Books,Data Science Guide,1,43.14,43.14,0,apple_pay,completed
10159,1030,2024-12-27,Clothing,Sneakers,3,124.93,374.79,0,credit_card,completed
10160,1030,2024-12-27,Home,Coffee Maker,3,381.85,1145.55,0,paypal,completed
10161,1031,2024-01-26,Books,Python Programming,2,40.07,80.14,6.57,google_pay,completed
10162,1031,2024-01-26,Sports,Gym Bag,1,201.81,201.81,0,credit_card,completed
10163,1031,2023-12-20,Sports,Dumbbells,2,282.0,564.0,106.01,credit_card,completed
10164,1031,2023-09-22,Home,Towel Set,1,367.98,367.98,0,paypal,completed
10165,1032,2024-08-15,Beauty,Perfume,3,134.79,404.37,0,google_pay,refunded
10166,1032,2024-08-15,Home,Table Lamp,3,269.68,809.04,0,google_pay,completed
10167,1032,2024-08-15,Clothing,Running Shoes,3,187.08,561.24,0,google_pay,completed
10168,1032,2024-06-22,Beauty,Lipstick,1,135.98,135.98,0,google_pay,completed
10169,1032,2024-06-22,Books,Mystery Novel,2,16.53,33.06,0,credit_card,completed
10170,1032,2024-06-22,Beauty,Face Cream,3,107.94,323.82,55.71,credit_card,refunded
10171,1032,2024-12-03,Home,Cookware Set,3,221.08,663.24,36.78,google_pay,refunded
10172,1032,2024-07-04,Beauty,Lipstick,1,54.36,54.36,0,paypal,completed
10173,1032,2024-07-04,Electronics,Apple Watch,1,1628.27,1628.27,0,credit_card,completed
10174,1032,2024-06-12,Books,Python Programming,2,48.74,97.48,7.78,apple_pay,completed
10175,1032,2024-06-12,Home,Vacuum Cleaner,3,315.96,947.88,0,paypal,completed
10176,1033,2024-06-28,Clothing,Sneakers,1,148.44,148.44,15.27,paypal,completed
10177,1033,2024-06-28,Clothing,Running Shoes,1,46.14,46.14,0,paypal,completed
10178,1033,2024-06-28,Beauty,Foundation,3,94.66,283.98,0,google_pay,completed
10179,1033,2024-06-28,Beauty,Foundation,2,42.89,85.78,0,apple_pay,completed
10180,1033,2024-08-23,Books,Biography,1,45.3,45.3,0,paypal,completed
10181,1034,2024-11-27,Sports,Water Bottle,1,232.12,232.12,40.5,credit_card,completed
10182,1034,2024-11-27,Electronics,iPhone 15,2,573.3,1146.6,0,paypal,completed
10183,1034,2024-11-27,Sports,Running Belt,3,40.46,121.38,18.2,google_pay,completed
10184,1034,2024-11-27,Beauty,Perfume,3,129.76,389.28,47.4,apple_pay,completed
10185,1034,2024-11-12,Clothing,Cotton T-Shirt,1,195.79,195.79,13.95,credit_card,completed
10186,1034,2024-11-12,Beauty,Shampoo,3,52.01,156.03,15.9,paypal,cancelled
10187,1034,2024-11-22,Clothing,Sneakers,2,29.29,58.58,0,apple_pay,completed
10188,1034,2024-11-22,Clothing,Sneakers,3,27.88,83.64,0,google_pay,completed
10189,1034,2024-10-27,Electronics,Samsung Galaxy S24,3,420.93,1262.79,0,apple_pay,completed
10190,1034,2024-10-27,Electronics,Dell XPS,1,1367.25,1367.25,0,apple_pay,completed
10191,1034,2024-12-07,Beauty,Body Lotion,1,13.86,13.86,0,google_pay,completed
