user_id,signup_date,first_purchase_date,country,city,acquisition_channel,device_type,age_group,gender,customer_status
1001,2023-01-05,2023-01-07,USA,New York,paid_search,mobile,25-34,F,active
1002,2023-01-08,2023-01-15,USA,Los Angeles,organic,desktop,35-44,M,active
1003,2023-01-12,,UK,London,social_media,mobile,18-24,F,churned
1004,2023-01-15,2023-01-16,Canada,Toronto,email,tablet,45-54,M,active
1005,2023-01-18,2023-01-20,USA,Chicago,paid_social,mobile,25-34,F,active
1006,2023-01-22,2023-01-25,UK,Manchester,organic,desktop,35-44,M,churned
1007,2023-01-25,,USA,Houston,referral,mobile,18-24,F,churned
1008,2023-02-01,2023-02-03,Canada,Vancouver,paid_search,desktop,25-34,M,active
1009,2023-02-05,2023-02-08,USA,Miami,social_media,mobile,35-44,F,active
1010,2023-02-08,2023-02-10,UK,Birmingham,paid_social,tablet,25-34,M,active
1011,2023-02-12,2023-02-15,USA,Boston,organic,mobile,45-54,F,churned
1012,2023-02-15,,Canada,Montreal,email,desktop,18-24,M,churned
1013,2023-02-18,2023-02-20,USA,Seattle,paid_search,mobile,25-34,F,active
1014,2023-02-22,2023-02-23,UK,Edinburgh,referral,desktop,35-44,M,active
1015,2023-02-25,2023-02-28,USA,Denver,social_media,tablet,25-34,F,active
1016,2023-03-01,2023-03-05,Canada,Calgary,paid_social,mobile,45-54,M,churned
1017,2023-03-05,,USA,Phoenix,organic,desktop,18-24,F,churned
1018,2023-03-08,2023-03-10,UK,Liverpool,email,mobile,25-34,M,active
1019,2023-03-12,2023-03-15,USA,Atlanta,paid_search,tablet,35-44,F,active
1020,2023-03-15,2023-03-18,Canada,Ottawa,social_media,mobile,25-34,M,active
1021,2023-03-18,2023-03-20,USA,Portland,referral,desktop,45-54,F,active
1022,2023-03-22,,UK,Glasgow,paid_social,mobile,18-24,M,churned
1023,2023-03-25,2023-03-28,USA,Dallas,organic,tablet,25-34,F,active
1024,2023-04-01,2023-04-03,Canada,Quebec,email,mobile,35-44,M,active
1025,2023-04-05,2023-04-08,USA,San Diego,paid_search,desktop,25-34,F,churned
1026,2023-04-08,2023-04-12,UK,Leeds,social_media,mobile,45-54,M,active
1027,2023-04-12,,USA,Austin,paid_social,tablet,18-24,F,churned
1028,2023-04-15,2023-04-18,Canada,Winnipeg,organic,mobile,25-34,M,active
1029,2023-04-18,2023-04-22,USA,Nashville,referral,desktop,35-44,F,active
1030,2023-04-22,2023-04-25,UK,Bristol,email,mobile,25-34,M,active
1031,2023-04-25,2023-04-28,USA,Charlotte,paid_search,tablet,45-54,F,churned
