"user_id","game_name","payment_month","total_revenue","age","language","previous_paid_month","next_paid_month","next_calendar_month","prev_calendar_month","previous_revenue","future_revenue","new_mrr","new_paid_users","paid_users","expansion_mrr","contraction_mrr","churned_revenue","churned_users","churn_month"
"06RPvlsFPCmM9ag+iSM/Ag==",game 3,2022-04-01 00:00:00.000 +0300,12.03,34,ru,,2022-05-01 00:00:00.000 +0300,2022-05-01,2022-03-01,,28.32,12.03,1,1,0,0,0,0,
"06RPvlsFPCmM9ag+iSM/Ag==",game 3,2022-05-01 00:00:00.000 +0300,28.32,34,ru,2022-04-01 00:00:00.000 +0300,2022-06-01 00:00:00.000 +0300,2022-06-01,2022-04-01,12.03,29.07,0,0,1,16.29,0,0,0,
"06RPvlsFPCmM9ag+iSM/Ag==",game 3,2022-06-01 00:00:00.000 +0300,29.07,34,ru,2022-05-01 00:00:00.000 +0300,2022-07-01 00:00:00.000 +0300,2022-07-01,2022-05-01,28.32,25.23,0,0,1,0.75,0,0,0,
"06RPvlsFPCmM9ag+iSM/Ag==",game 3,2022-07-01 00:00:00.000 +0300,25.23,34,ru,2022-06-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,2022-08-01,2022-06-01,29.07,18.9,0,0,1,0,3.84,0,0,
"06RPvlsFPCmM9ag+iSM/Ag==",game 3,2022-08-01 00:00:00.000 +0300,18.9,34,ru,2022-07-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,2022-09-01,2022-07-01,25.23,48.72,0,0,1,0,6.33,0,0,
"06RPvlsFPCmM9ag+iSM/Ag==",game 3,2022-09-01 00:00:00.000 +0300,48.72,34,ru,2022-08-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,2022-10-01,2022-08-01,18.9,25.74,0,0,1,29.82,0,0,0,
"06RPvlsFPCmM9ag+iSM/Ag==",game 3,2022-10-01 00:00:00.000 +0300,25.74,34,ru,2022-09-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-11-01,2022-09-01,48.72,39.78,0,0,1,0,22.98,0,0,
"06RPvlsFPCmM9ag+iSM/Ag==",game 3,2022-11-01 00:00:00.000 +0200,39.78,34,ru,2022-10-01 00:00:00.000 +0300,,2022-12-01,2022-10-01,25.74,,0,0,1,14.04,0,39.78,1,2022-12-01
"0A5RkQrm+GBgG7KSFk/xhw==",game 3,2022-05-01 00:00:00.000 +0300,13.8,31,uk,,2022-06-01 00:00:00.000 +0300,2022-06-01,2022-04-01,,48.21,13.8,1,1,0,0,0,0,
"0A5RkQrm+GBgG7KSFk/xhw==",game 3,2022-06-01 00:00:00.000 +0300,48.21,31,uk,2022-05-01 00:00:00.000 +0300,2022-07-01 00:00:00.000 +0300,2022-07-01,2022-05-01,13.8,52.77,0,0,1,34.41,0,0,0,
"0A5RkQrm+GBgG7KSFk/xhw==",game 3,2022-07-01 00:00:00.000 +0300,52.77,31,uk,2022-06-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,2022-08-01,2022-06-01,48.21,40.83,0,0,1,4.56,0,0,0,
"0A5RkQrm+GBgG7KSFk/xhw==",game 3,2022-08-01 00:00:00.000 +0300,40.83,31,uk,2022-07-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,2022-09-01,2022-07-01,52.77,35.49,0,0,1,0,11.94,0,0,
"0A5RkQrm+GBgG7KSFk/xhw==",game 3,2022-09-01 00:00:00.000 +0300,35.49,31,uk,2022-08-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,2022-10-01,2022-08-01,40.83,35.73,0,0,1,0,5.34,0,0,
"0A5RkQrm+GBgG7KSFk/xhw==",game 3,2022-10-01 00:00:00.000 +0300,35.73,31,uk,2022-09-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-11-01,2022-09-01,35.49,72.93,0,0,1,0.24,0,0,0,
"0A5RkQrm+GBgG7KSFk/xhw==",game 3,2022-11-01 00:00:00.000 +0200,72.93,31,uk,2022-10-01 00:00:00.000 +0300,,2022-12-01,2022-10-01,35.73,,0,0,1,37.20,0,72.93,1,2022-12-01
"0afix9qVNfU3GJY1n0QGkw==",game 3,2022-09-01 00:00:00.000 +0300,32.28,25,uk,,2022-10-01 00:00:00.000 +0300,2022-10-01,2022-08-01,,13.23,32.28,1,1,0,0,0,0,
"0afix9qVNfU3GJY1n0QGkw==",game 3,2022-10-01 00:00:00.000 +0300,13.23,25,uk,2022-09-01 00:00:00.000 +0300,,2022-11-01,2022-09-01,32.28,,0,0,1,0,19.05,13.23,1,2022-11-01
"0dJXy70SFjxVR6YgOPZzMQ==",game 3,2022-11-01 00:00:00.000 +0200,17.19,27,uk,,,2022-12-01,2022-10-01,,,17.19,1,1,0,0,17.19,1,2022-12-01
"14RMzQMoG017OLkaDBFjng==",game 3,2022-07-01 00:00:00.000 +0300,14.43,36,uk,,2022-11-01 00:00:00.000 +0200,2022-08-01,2022-06-01,,12.75,14.43,1,1,0,0,14.43,1,2022-08-01
"14RMzQMoG017OLkaDBFjng==",game 3,2022-11-01 00:00:00.000 +0200,12.75,36,uk,2022-07-01 00:00:00.000 +0300,,2022-12-01,2022-10-01,14.43,,0,0,1,0,0,12.75,1,2022-12-01
